lat,long,ha,spring,summer,autumn,years_since_2012
49.184466666666665,-118.44776666666667,14.5,1,0,0,0
49.0836,-119.00028333333333,7.9,1,0,0,0
49.35626666666667,-118.8726,5.7,0,1,0,0
49.186733333333336,-118.4522,10.4,0,1,0,0
49.055166666666665,-116.38735,53.6,0,1,0,0
49.92503333333333,-117.01446666666666,10.0,0,1,0,0
49.85523333333333,-117.00063333333334,5.0,0,0,1,0
49.16891666666667,-116.39846666666666,14.0,0,0,1,0
53.198483333333336,-125.58998333333334,7450.0,0,1,0,0
54.03143333333333,-127.70655,2367.0,0,1,0,0
59.4419,-129.08751666666666,3500.0,0,1,0,0
59.466966666666664,-129.04206666666667,5.0,0,1,0,0
59.5233,-128.78775,36.6,0,1,0,0
49.8815,-123.06241666666666,46.0,0,1,0,0
50.57333333333333,-122.8583,135.0,0,1,0,0
49.85196666666667,-123.8649,10.0,0,1,0,0
50.201633333333334,-124.84881666666666,5.0,0,1,0,0
48.62995,-123.81638333333333,14.23,0,0,1,0
49.777,-125.63746666666667,313.0,0,1,0,0
50.03563333333334,-125.97778333333333,26.7,0,1,0,0
50.818666666666665,-125.40733333333333,13.0,0,1,0,0
53.000083333333336,-123.624,15.5,1,0,0,1
53.16215,-121.82683333333334,5.1,0,1,0,1
53.130583333333334,-120.8688,49.4,0,1,0,1
53.07985,-121.695,9.8,0,1,0,1
51.91405,-122.53006666666667,300.0,1,0,0,1
52.10381666666667,-121.99565,45.0,1,0,0,1
52.00673333333334,-122.47673333333333,438.0,1,0,0,1
51.6551,-122.29395,8.3,1,0,0,1
52.07848333333333,-122.36036666666666,11.1,0,1,0,1
51.76355,-122.58408333333334,8.9,0,1,0,1
52.04573333333333,-121.85356666666667,6.1,0,1,0,1
52.803266666666666,-120.44766666666666,43.0,0,1,0,1
51.4207,-121.9926,12.1,1,0,0,1
51.41433333333333,-122.16383333333333,6.4,0,1,0,1
51.18448333333333,-121.05251666666666,5.5,0,1,0,1
51.24135,-121.35018333333333,12.2,0,1,0,1
51.60576666666667,-121.9674,6.1,0,1,0,1
52.13345,-123.9702,25.0,1,0,0,1
52.11253333333333,-123.22668333333333,9.3,1,0,0,1
51.4156,-124.07605,12.0,1,0,0,1
52.00405,-123.1389,6.0,1,0,0,1
52.001083333333334,-123.15545,6.5,1,0,0,1
51.99775,-123.1514,5.0,1,0,0,1
51.728233333333336,-124.19153333333334,156.8,1,0,0,1
52.72931666666667,-125.1,1200.0,0,1,0,1
52.437133333333335,-125.39431666666667,5.0,0,0,1,1
54.05758333333333,-122.91036666666666,23.2,1,0,0,1
53.77863333333333,-122.62716666666667,14.0,1,0,0,1
53.53646666666667,-121.46763333333334,5.7,0,1,0,1
53.85183333333333,-122.97815,9.8,0,1,0,1
53.45605,-121.85058333333333,410.0,0,1,0,1
53.870733333333334,-120.79043333333334,100.0,0,1,0,1
53.654983333333334,-120.16833333333334,16.5,0,1,0,1
52.956466666666664,-120.00445,405.0,0,1,0,1
52.9697,-119.85105,5.0,0,1,0,1
52.95263333333333,-120.05961666666667,131.0,0,1,0,1
53.6068,-124.65715,9.0,0,1,0,1
54.280116666666665,-124.8334,281.9,0,1,0,1
53.80956666666667,-123.43683333333334,10.0,0,1,0,1
54.56701666666667,-124.49578333333334,6.1,1,0,0,1
55.20195,-123.62646666666667,6.2,0,1,0,1
56.1155,-122.32615,23.5,1,0,0,1
55.61761666666666,-121.84311666666666,34.0,1,0,0,1
55.7849,-121.00171666666667,52.0,1,0,0,1
55.78646666666667,-120.22466666666666,100.0,1,0,0,1
55.7409,-120.40533333333333,49.0,1,0,0,1
55.53545,-120.06781666666667,40.0,1,0,0,1
55.19688333333333,-121.70765,79.0,1,0,0,1
55.59831666666667,-120.21586666666667,60.0,1,0,0,1
55.86893333333333,-121.59781666666666,9.0,1,0,0,1
55.99163333333333,-121.26578333333333,100.0,1,0,0,1
55.67028333333333,-120.01121666666667,20.0,1,0,0,1
55.498216666666664,-120.54891666666667,13.2,1,0,0,1
56.05116666666667,-122.11165,5.7,0,0,1,1
56.265,-122.06801666666667,14.0,1,0,0,1
56.15763333333334,-120.72326666666666,35.0,1,0,0,1
56.22821666666667,-121.41551666666666,13.7,1,0,0,1
56.27125,-121.23676666666667,11.5,1,0,0,1
58.55286666666667,-120.73088333333334,9.9,0,1,0,1
59.383,-120.17801666666666,53.3,1,0,0,1
59.029783333333334,-121.14015,12.5,1,0,0,1
59.92476666666666,-120.92223333333334,66.0,1,0,0,1
59.316316666666665,-121.92611666666667,209.7,0,1,0,1
59.676833333333335,-122.20893333333333,6.4,0,1,0,1
59.30328333333333,-125.20763333333333,6.4,0,1,0,1
59.395833333333336,-126.62783333333333,1029.6,0,1,0,1
59.40388333333333,-121.77361666666667,11.3,0,1,0,1
59.107616666666665,-121.17971666666666,17.0,0,1,0,1
52.491233333333334,-119.41401666666667,73.8,0,1,0,1
52.3481,-119.13328333333334,13.2,0,1,0,1
52.6207,-120.22671666666666,29.6,0,1,0,1
52.5266,-119.52126666666666,18.4,0,1,0,1
52.06458333333333,-118.9712,64.4,0,1,0,1
